SepalLength,SepalWidth,PetalLength,PetalWidth,Class
-0.900681,1.03206,-1.34127,-1.31298,Iris-setosa
-1.14302,-0.124958,-1.34127,-1.31298,Iris-setosa
-1.38535,0.337848,-1.39814,-1.31298,Iris-setosa
-1.50652,0.106445,-1.28441,-1.31298,Iris-setosa
-1.02185,1.26346,-1.34127,-1.31298,Iris-setosa
-0.537178,1.95767,-1.17068,-1.05003,Iris-setosa
-1.50652,0.800654,-1.34127,-1.1815,Iris-setosa
-1.02185,0.800654,-1.28441,-1.31298,Iris-setosa
-1.74886,-0.356361,-1.34127,-1.31298,Iris-setosa
-1.14302,0.106445,-1.28441,-1.44445,Iris-setosa
-0.537178,1.49486,-1.28441,-1.31298,Iris-setosa
-1.26418,0.800654,-1.22754,-1.31298,Iris-setosa
-1.26418,-0.124958,-1.34127,-1.44445,Iris-setosa
-1.87002,-0.124958,-1.51187,-1.44445,Iris-setosa
-0.0525061,2.18907,-1.455,-1.31298,Iris-setosa
-0.173674,3.11468,-1.28441,-1.05003,Iris-setosa
-0.537178,1.95767,-1.39814,-1.05003,Iris-setosa
-0.900681,1.03206,-1.34127,-1.1815,Iris-setosa
-0.173674,1.72627,-1.17068,-1.1815,Iris-setosa
-0.900681,1.72627,-1.28441,-1.1815,Iris-setosa
-0.537178,0.800654,-1.17068,-1.31298,Iris-setosa
-0.900681,1.49486,-1.28441,-1.05003,Iris-setosa
-1.50652,1.26346,-1.56874,-1.31298,Iris-setosa
-0.900681,0.569251,-1.17068,-0.918558,Iris-setosa
-1.26418,0.800654,-1.05694,-1.31298,Iris-setosa
-1.02185,-0.124958,-1.22754,-1.31298,Iris-setosa
-1.02185,0.800654,-1.22754,-1.05003,Iris-setosa
-0.779513,1.03206,-1.28441,-1.31298,Iris-setosa
-0.779513,0.800654,-1.34127,-1.31298,Iris-setosa
-1.38535,0.337848,-1.22754,-1.31298,Iris-setosa
-1.26418,0.106445,-1.22754,-1.31298,Iris-setosa
-0.537178,0.800654,-1.28441,-1.05003,Iris-setosa
-0.779513,2.42048,-1.28441,-1.44445,Iris-setosa
-0.41601,2.65188,-1.34127,-1.31298,Iris-setosa
-1.14302,0.106445,-1.28441,-1.44445,Iris-setosa
-1.02185,0.337848,-1.455,-1.31298,Iris-setosa
-0.41601,1.03206,-1.39814,-1.31298,Iris-setosa
-1.14302,0.106445,-1.28441,-1.44445,Iris-setosa
-1.74886,-0.124958,-1.39814,-1.31298,Iris-setosa
-0.900681,0.800654,-1.28441,-1.31298,Iris-setosa
-1.02185,1.03206,-1.39814,-1.1815,Iris-setosa
-1.62769,-1.74478,-1.39814,-1.1815,Iris-setosa
-1.74886,0.337848,-1.39814,-1.31298,Iris-setosa
-1.02185,1.03206,-1.22754,-0.787085,Iris-setosa
-0.900681,1.72627,-1.05694,-1.05003,Iris-setosa
-1.26418,-0.124958,-1.34127,-1.1815,Iris-setosa
-0.900681,1.72627,-1.22754,-1.31298,Iris-setosa
-1.50652,0.337848,-1.34127,-1.31298,Iris-setosa
-0.658345,1.49486,-1.28441,-1.31298,Iris-setosa
-1.02185,0.569251,-1.34127,-1.31298,Iris-setosa
1.40151,0.337848,0.535296,0.264699,Iris-versicolor
0.674501,0.337848,0.421564,0.396172,Iris-versicolor
1.28034,0.106445,0.649027,0.396172,Iris-versicolor
-0.41601,-1.74478,0.137236,0.133226,Iris-versicolor
0.795669,-0.587764,0.47843,0.396172,Iris-versicolor
-0.173674,-0.587764,0.421564,0.133226,Iris-versicolor
0.553333,0.569251,0.535296,0.527645,Iris-versicolor
-1.14302,-1.51338,-0.260824,-0.261193,Iris-versicolor
0.916837,-0.356361,0.47843,0.133226,Iris-versicolor
-0.779513,-0.819166,0.0803702,0.264699,Iris-versicolor
-1.02185,-2.43899,-0.147093,-0.261193,Iris-versicolor
0.0686618,-0.124958,0.250967,0.396172,Iris-versicolor
0.18983,-1.97618,0.137236,-0.261193,Iris-versicolor
0.310998,-0.356361,0.535296,0.264699,Iris-versicolor
-0.294842,-0.356361,-0.0902269,0.133226,Iris-versicolor
1.038,0.106445,0.364699,0.264699,Iris-versicolor
-0.294842,-0.124958,0.421564,0.396172,Iris-versicolor
-0.0525061,-0.819166,0.194102,-0.261193,Iris-versicolor
0.432165,-1.97618,0.421564,0.396172,Iris-versicolor
-0.294842,-1.28197,0.0803702,-0.12972,Iris-versicolor
0.0686618,0.337848,0.592162,0.790591,Iris-versicolor
0.310998,-0.587764,0.137236,0.133226,Iris-versicolor
0.553333,-1.28197,0.649027,0.396172,Iris-versicolor
0.310998,-0.587764,0.535296,0.00175297,Iris-versicolor
0.674501,-0.356361,0.307833,0.133226,Iris-versicolor
0.916837,-0.124958,0.364699,0.264699,Iris-versicolor
1.15917,-0.587764,0.592162,0.264699,Iris-versicolor
1.038,-0.124958,0.705893,0.659118,Iris-versicolor
0.18983,-0.356361,0.421564,0.396172,Iris-versicolor
-0.173674,-1.05057,-0.147093,-0.261193,Iris-versicolor
-0.41601,-1.51338,0.0235045,-0.12972,Iris-versicolor
-0.41601,-1.51338,-0.0333612,-0.261193,Iris-versicolor
-0.0525061,-0.819166,0.0803702,0.00175297,Iris-versicolor
0.18983,-0.819166,0.762759,0.527645,Iris-versicolor
-0.537178,-0.124958,0.421564,0.396172,Iris-versicolor
0.18983,0.800654,0.421564,0.527645,Iris-versicolor
1.038,0.106445,0.535296,0.396172,Iris-versicolor
0.553333,-1.74478,0.364699,0.133226,Iris-versicolor
-0.294842,-0.124958,0.194102,0.133226,Iris-versicolor
-0.41601,-1.28197,0.137236,0.133226,Iris-versicolor
-0.41601,-1.05057,0.364699,0.00175297,Iris-versicolor
0.310998,-0.124958,0.47843,0.264699,Iris-versicolor
-0.0525061,-1.05057,0.137236,0.00175297,Iris-versicolor
-1.02185,-1.74478,-0.260824,-0.261193,Iris-versicolor
-0.294842,-0.819166,0.250967,0.133226,Iris-versicolor
-0.173674,-0.124958,0.250967,0.00175297,Iris-versicolor
-0.173674,-0.356361,0.250967,0.133226,Iris-versicolor
0.432165,-0.356361,0.307833,0.133226,Iris-versicolor
-0.900681,-1.28197,-0.431421,-0.12972,Iris-versicolor
-0.173674,-0.587764,0.194102,0.133226,Iris-versicolor
0.553333,0.569251,1.27455,1.7109,Iris-virginica
-0.0525061,-0.819166,0.762759,0.922064,Iris-virginica
1.52268,-0.124958,1.21768,1.18501,Iris-virginica
0.553333,-0.356361,1.04709,0.790591,Iris-virginica
0.795669,-0.124958,1.16082,1.31648,Iris-virginica
2.12852,-0.124958,1.61574,1.18501,Iris-virginica
-1.14302,-1.28197,0.421564,0.659118,Iris-virginica
1.76501,-0.356361,1.44515,0.790591,Iris-virginica
1.038,-1.28197,1.16082,0.790591,Iris-virginica
1.64384,1.26346,1.33142,1.7109,Iris-virginica
0.795669,0.337848,0.762759,1.05354,Iris-virginica
0.674501,-0.819166,0.87649,0.922064,Iris-virginica
1.15917,-0.124958,0.990221,1.18501,Iris-virginica
-0.173674,-1.28197,0.705893,1.05354,Iris-virginica
-0.0525061,-0.587764,0.762759,1.57943,Iris-virginica
0.674501,0.337848,0.87649,1.44796,Iris-virginica
0.795669,-0.124958,0.990221,0.790591,Iris-virginica
2.24968,1.72627,1.67261,1.31648,Iris-virginica
2.24968,-1.05057,1.78634,1.44796,Iris-virginica
0.18983,-1.97618,0.705893,0.396172,Iris-virginica
1.28034,0.337848,1.10395,1.44796,Iris-virginica
-0.294842,-0.587764,0.649027,1.05354,Iris-virginica
2.24968,-0.587764,1.67261,1.05354,Iris-virginica
0.553333,-0.819166,0.649027,0.790591,Iris-virginica
1.038,0.569251,1.10395,1.18501,Iris-virginica
1.64384,0.337848,1.27455,0.790591,Iris-virginica
0.432165,-0.587764,0.592162,0.790591,Iris-virginica
0.310998,-0.124958,0.649027,0.790591,Iris-virginica
0.674501,-0.587764,1.04709,1.18501,Iris-virginica
1.64384,-0.124958,1.16082,0.527645,Iris-virginica
1.88618,-0.587764,1.33142,0.922064,Iris-virginica
2.49202,1.72627,1.50201,1.05354,Iris-virginica
0.674501,-0.587764,1.04709,1.31648,Iris-virginica
0.553333,-0.587764,0.762759,0.396172,Iris-virginica
0.310998,-1.05057,1.04709,0.264699,Iris-virginica
2.24968,-0.124958,1.33142,1.44796,Iris-virginica
0.553333,0.800654,1.04709,1.57943,Iris-virginica
0.674501,0.106445,0.990221,0.790591,Iris-virginica
0.18983,-0.124958,0.592162,0.790591,Iris-virginica
1.28034,0.106445,0.933356,1.18501,Iris-virginica
1.038,0.106445,1.04709,1.57943,Iris-virginica
1.28034,0.106445,0.762759,1.44796,Iris-virginica
-0.0525061,-0.819166,0.762759,0.922064,Iris-virginica
1.15917,0.337848,1.21768,1.44796,Iris-virginica
1.038,0.569251,1.10395,1.7109,Iris-virginica
1.038,-0.124958,0.819624,1.44796,Iris-virginica
0.553333,-1.28197,0.705893,0.922064,Iris-virginica
0.795669,-0.124958,0.819624,1.05354,Iris-virginica
0.432165,0.800654,0.933356,1.44796,Iris-virginica
0.0686618,-0.124958,0.762759,0.790591,Iris-virginica
